Ticker;Companyia;ROIC (20%);Net Margin (10%);Operating Margin (10%);Current Ratio (10%);PER (10%)
AAPL;Apple;37,36%;21,61%;28,72%;1,08;15,19
XOM;Exxon Mobil;26,79%;7,89%;12,53%;0,82;7,54
GOOG;Google;15,40%;21,42%;24,99%;4,69;25,27
MSFT;Microsoft;25,14%;25,42%;31,97%;2,50;15,00
JNJ;Johnson & Johnson;24,23%;21,96%;27,66%;2,23;13,44
RHHBY;Roche Holding AG;34,45%;18,71%;28,26%;1,35;15,47
WMT;Wal-Mart Stores;21,34%;3,36%;5,64%;0,88;14,21
NSRGY;Nestle;12,94%;15,74%;11,87%;1,03;10,77
NVS;Novartis;13,10%;19,04%;20,68%;1,39;13,05
CVX;Chevron;17,31%;9,08%;14,72%;1,32;6,83
PFE;Pfizer;12,84%;18,42%;26,71%;2,58;12,87
IBM;IBM;37,85%;12,96%;19,17%;1,20;8,12
VZ;Verizon Communications;15,78%;7,57%;15,42%;1,05;10,75
TM;Toyota Motor;9,64%;7,10%;8,92%;1,07;7,82
ORCL;Oracle;21,07%;28,62%;38,56%;3,34;15,92
CHL;China Mobile;13,59%;17,04%;18,29%;1,11;10,24
T;AT&T;7,35%;4,86%;9,22%;0,90;9,21
BHP;BHP Billiton;19,99%;24,37%;40,74%;1,23;3,89
BUD;Anheuser-Busch InBev;15,36%;19,58%;31,94%;0,68;16,51
KO;Coca-Cola;19,56%;15,43%;21,11%;1,02;18,53
MRK;Merck & Co;9,90%;28,22%;15,82%;1,77;9,39
META;Facebook;13,79%;23,46%;40,06%;9,40;70,37
AMZN;Amazon.com;0,94%;-0,27%;0,20%;1,12;-517,33
TTE;TotalEnergies SE;7,70%;2,00%;5,05%;1,45;11,64
WFC;Wells Fargo;9,19%;24,69%;38,38%;0,93;9,77
JPM;JPMorgan Chase;5,70%;19,49%;29,80%;0,98;8,71
IDCBY;ICBC;12,46%;27,77%;42,11%;0,97;2,80
HSBC;HSBC Holdings;5,79%;20,56%;29,29%;0,93;7,42
BAC;Bank of America;1,64%;4,62%;8,22%;0,94;33,60
CICHY;China Construction Bank;17,76%;36,97%;48,44%;0,88;2,32
