Ticker;Companyia;EPS Growth (10%);FCF Yield (10%);Debt/EBITDA (10%);EV/EBITDA (10%)
AAPL;Apple;13,38%;10,38%;0,48;8,06
XOM;Exxon Mobil;3,12%;2,88%;0,17;6,20
GOOG;Google;9,57%;3,15%;0,15;14,96
MSFT;Microsoft;1,94%;7,86%;0,63;8,45
JNJ;Johnson & Johnson;18,50%;7,09%;0,60;10,34
RHHBY;Roche Holding AG;70,11%;5,62%;1,37;17,00
WMT;Wal-Mart Stores;-2,40%;4,38%;1,25;7,98
NSRGY;Nestle;46,45%;4,93%;0,78;14,00
NVS;Novartis;11,62%;4,98%;1,24;20,50
CVX;Chevron;-8,57%;-1,73%;0,50;4,96
PFE;Pfizer;-55,49%;7,79%;1,68;10,61
IBM;IBM;-20,35%;6,68%;1,57;10,28
VZ;Verizon Communications;-39,50%;6,80%;3,06;8,22
TM;Toyota Motor;78,02%;9,05%;2,41;6,67
ORCL;Oracle;5,31%;7,75%;1,28;9,55
CHL;China Mobile;-11,74%;3,55%;0,02;3,07
T;AT&T;-63,74%;5,55%;2,49;8,20
BHP;BHP Billiton;23,33%;5,40%;0,98;6,61
BUD;Anheuser-Busch InBev;-36,47%;5,85%;2,37;11,12
KO;Coca-Cola;-15,79%;5,00%;1,63;14,21
MRK;Merck & Co;176,87%;4,02%;1,40;12,62
META;Facebook;83,33%;3,44%;0,02;23,83
AMZN;Amazon.com;-200,00%;1,24%;1,68;30,13
TTE;TotalEnergies SE;-62,35%;1,82%;1,44;5,35
