Ticker;Companyia;ROIC (20%);Net Margin (10%);Operating Margin (10%);Current Ratio (10%);PER (10%)
AAPL;Apple;9,95;8,32;8,50;6,32;6,96
XOM;Exxon Mobil;8,76;3,16;5,01;4,19;8,49
GOOG;Google;6,16;8,28;8,00;9,21;4,95
MSFT;Microsoft;8,58;9,08;8,93;9,34;7,00
JNJ;Johnson & Johnson;8,47;8,39;8,36;8,97;7,31
RHHBY;Roche Holding AG;9,62;7,49;8,43;7,39;6,91
WMT;Wal-Mart Stores;8,15;1,35;2,26;4,82;7,16
NSRGY;Nestle;5,18;6,29;4,75;6,13;7,85
NVS;Novartis;5,24;7,61;7,14;7,57;7,39
CVX;Chevron;6,93;3,63;5,89;7,29;8,63
PFE;Pfizer;5,14;7,37;8,23;9,43;7,43
IBM;IBM;10,00;5,18;6,83;6,79;8,38
VZ;Verizon Communications;6,31;3,03;6,08;6,22;7,85
TM;Toyota Motor;3,86;2,84;3,57;6,28;8,44
ORCL;Oracle;8,12;9,72;9,81;9,84;6,82
CHL;China Mobile;5,43;6,81;6,66;6,42;7,95
T;AT&T;2,94;1,95;3,69;5,01;8,16
BHP;BHP Billiton;7,99;8,87;10,00;6,94;9,22
BUD;Anheuser-Busch InBev;6,14;7,83;8,93;3,41;6,70
KO;Coca-Cola;7,83;6,17;7,22;6,08;6,30
MRK;Merck & Co;3,96;9,64;6,16;8,36;8,12
META;Facebook;5,52;8,69;10,00;7,00;0,00
AMZN;Amazon.com;0,37;0,00;0,08;6,46;0,00
TTE;TotalEnergies SE;3,08;0,80;2,02;7,81;7,67
WFC;Wells Fargo;3,67;8,94;9,78;5,31;8,05
JPM;JPMorgan Chase;2,28;7,80;8,64;5,79;8,26
IDCBY;ICBC;4,99;9,55;10,00;5,67;9,44
HSBC;HSBC Holdings;2,32;8,11;8,57;5,28;8,52
BAC;Bank of America;0,65;1,85;3,29;5,37;3,64
CICHY;China Construction Bank;7,10;10,00;10,00;4,76;9,54
