Ticker;Companyia;EPS Growth (10%);FCF Yield (10%);Debt/EBITDA (10%);EV/EBITDA (10%)
AAPL;Apple;6,68;10,00;8,09;7,94
XOM;Exxon Mobil;3,94;2,88;9,38;8,73
GOOG;Google;5,87;3,15;9,45;3,01
MSFT;Microsoft;3,58;7,86;5,50;7,55
JNJ;Johnson & Johnson;7,70;7,09;5,59;5,66
RHHBY;Roche Holding AG;10,00;5,62;3,25;2,33
WMT;Wal-Mart Stores;2,64;4,38;3,51;8,01
NSRGY;Nestle;9,76;4,93;4,88;3,33
NVS;Novartis;6,32;4,98;3,51;1,29
CVX;Chevron;1,72;0,00;6,00;9,23
PFE;Pfizer;0,00;7,79;2,64;5,39
IBM;IBM;0,00;6,68;2,86;5,72
VZ;Verizon Communications;0,00;6,80;0,00;7,78
TM;Toyota Motor;10,00;8,88;1,18;8,54
ORCL;Oracle;4,59;7,75;3,44;6,45
CHL;China Mobile;1,24;3,55;9,99;10,00
T;AT&T;0,00;5,55;1,03;7,80
BHP;BHP Billiton;8,22;5,40;4,07;8,57
BUD;Anheuser-Busch InBev;0,00;5,85;1,25;4,88
KO;Coca-Cola;0,63;5,00;2,74;3,26
MRK;Merck & Co;10,00;4,02;3,20;3,79
META;Facebook;10,00;3,44;10,00;0,33
AMZN;Amazon.com;0,00;1,24;2,64;0,00
TTE;TotalEnergies SE;0,00;1,82;3,12;9,08
