Companyia,Ticker Yahoo original,Ticker Yahoo utilitzat,Status,Files descarregades,Data inici,Data fi,Fitxer individual,Error
Apple,AAPL,AAPL,OK,3089,2014-01-02,2026-04-15,Apple_AAPL_OHLC_2014.csv,
Exxon Mobil,XOM,XOM,OK,3089,2014-01-02,2026-04-15,Exxon Mobil_XOM_OHLC_2014.csv,
Google,GOOG,GOOG,OK,3089,2014-01-02,2026-04-15,Google_GOOG_OHLC_2014.csv,
Microsoft,MSFT,MSFT,OK,3089,2014-01-02,2026-04-15,Microsoft_MSFT_OHLC_2014.csv,
Johnson & Johnson,JNJ,JNJ,OK,3089,2014-01-02,2026-04-15,Johnson & Johnson_JNJ_OHLC_2014.csv,
Roche Holding AG,RHHBY,RHHBY,OK,3089,2014-01-02,2026-04-15,Roche Holding AG_RHHBY_OHLC_2014.csv,
Wal-Mart Stores,WMT,WMT,OK,3089,2014-01-02,2026-04-15,Wal-Mart Stores_WMT_OHLC_2014.csv,
Nestle,NSRGY,NSRGY,OK,3089,2014-01-02,2026-04-15,Nestle_NSRGY_OHLC_2014.csv,
Novartis,NVS,NVS,OK,3089,2014-01-02,2026-04-15,Novartis_NVS_OHLC_2014.csv,
Chevron,CVX,CVX,OK,3089,2014-01-02,2026-04-15,Chevron_CVX_OHLC_2014.csv,
Pfizer,PFE,PFE,OK,3089,2014-01-02,2026-04-15,Pfizer_PFE_OHLC_2014.csv,
IBM,IBM,IBM,OK,3089,2014-01-02,2026-04-15,IBM_IBM_OHLC_2014.csv,
Verizon Communications,VZ,VZ,OK,3089,2014-01-02,2026-04-15,Verizon Communications_VZ_OHLC_2014.csv,
Toyota Motor,TM,TM,OK,3089,2014-01-02,2026-04-15,Toyota Motor_TM_OHLC_2014.csv,
Oracle,ORCL,ORCL,OK,3089,2014-01-02,2026-04-15,Oracle_ORCL_OHLC_2014.csv,
China Mobile,CHL,0941.HK,OK,3025,2014-01-02,2026-04-16,China Mobile_0941.HK_OHLC_2014.csv,
AT&T,T,T,OK,3089,2014-01-02,2026-04-15,AT&T_T_OHLC_2014.csv,
BHP Billiton,BHP,BHP,OK,3089,2014-01-02,2026-04-15,BHP Billiton_BHP_OHLC_2014.csv,
Anheuser-Busch InBev,BUD,BUD,OK,3089,2014-01-02,2026-04-15,Anheuser-Busch InBev_BUD_OHLC_2014.csv,
Coca-Cola,KO,KO,OK,3089,2014-01-02,2026-04-15,Coca-Cola_KO_OHLC_2014.csv,
Merck & Co,MRK,MRK,OK,3089,2014-01-02,2026-04-15,Merck & Co_MRK_OHLC_2014.csv,
Facebook,META,META,OK,3089,2014-01-02,2026-04-15,Facebook_META_OHLC_2014.csv,
Amazon.com,AMZN,AMZN,OK,3089,2014-01-02,2026-04-15,Amazon.com_AMZN_OHLC_2014.csv,
Wells Fargo,WFC,WFC,OK,3089,2014-01-02,2026-04-15,Wells Fargo_WFC_OHLC_2014.csv,
JPMorgan Chase,JPM,JPM,OK,3089,2014-01-02,2026-04-15,JPMorgan Chase_JPM_OHLC_2014.csv,
ICBC,IDCBY,IDCBY,OK,3089,2014-01-02,2026-04-15,ICBC_IDCBY_OHLC_2014.csv,
HSBC Holdings,HSBC,HSBC,OK,3089,2014-01-02,2026-04-15,HSBC Holdings_HSBC_OHLC_2014.csv,
Bank of America,BAC,BAC,OK,3089,2014-01-02,2026-04-15,Bank of America_BAC_OHLC_2014.csv,
China Construction Bank,CICHY,CICHY,OK,3089,2014-01-02,2026-04-15,China Construction Bank_CICHY_OHLC_2014.csv,
